Order_ID,Date,Customer_ID,Product_Category,Price,Quantity,Payment_Method,Customer_Age,Rating
ORD1001,2024-01-01,CUST201,Electronics,299.99,1,Credit Card,34,4.5
ORD1002,2024-01-02,CUST202,Clothing,45.50,2,PayPal,28,4.0
ORD1003,2024-01-02,CUST203,Home & Kitchen,120.00,1,Credit Card,45,5.0
ORD1004,2024-01-03,CUST204,Beauty,25.00,3,Debit Card,22,3.5
ORD1005,2024-01-03,CUST205,Electronics,899.00,1,Credit Card,52,4.8
ORD1006,2024-01-04,CUST206,Books,15.99,4,PayPal,19,4.2
ORD1007,2024-01-05,CUST207,Clothing,65.00,1,Cash,31,
ORD1008,2024-01-05,CUST208,Electronics,,2,Credit Card,29,4.0
ORD1009,2024-01-06,CUST209,Home & Kitchen,45.00,2,PayPal,38,3.8
ORD1010,2024-01-07,CUST210,Beauty,30.00,1,Credit Card,41,4.1
ORD1011,2024-01-07,CUST211,Books,12.50,2,Debit Card,26,4.7
ORD1012,2024-01-08,CUST212,Clothing,110.00,1,Credit Card,33,
ORD1013,2024-01-09,CUST213,Electronics,450.00,1,PayPal,50,4.9
ORD1014,2024-01-10,CUST214,Home & Kitchen,85.00,3,Credit Card,27,4.3
ORD1015,2024-01-10,CUST215,Beauty,18.00,2,Cash,24,3.9
ORD1016,2024-01-11,CUST216,Books,22.00,1,PayPal,36,4.0
ORD1017,2024-01-12,CUST217,Electronics,1200.00,1,Credit Card,48,5.0
ORD1018,2024-01-12,CUST218,Clothing,35.00,2,Debit Card,21,3.7
ORD1019,2024-01-13,CUST219,Home & Kitchen,150.00,1,,60,4.4
ORD1020,2024-01-14,CUST220,Beauty,40.00,1,Credit Card,30,4.6
ORD1020,2024-01-14,CUST220,Beauty,40.00,1,Credit Card,30,4.6
ORD1021,2024-01-15,CUST221,Books,18.50,3,PayPal,25,4.1
ORD1022,2024-01-15,CUST222,Electronics,150.00,2,Credit Card,39,4.3
ORD1023,2024-01-16,CUST223,Clothing,85.00,1,Debit Card,43,
ORD1024,2024-01-17,CUST224,Home & Kitchen,220.00,1,PayPal,55,4.8
ORD1025,2024-01-18,CUST225,Beauty,60.00,2,Credit Card,29,4.2
ORD1026,2024-01-18,CUST226,Electronics,,1,Cash,32,3.5
ORD1027,2024-01-19,CUST227,Books,14.00,1,PayPal,22,4.0
ORD1028,2024-01-20,CUST228,Clothing,95.00,2,Credit Card,37,4.5
ORD1029,2024-01-20,CUST229,Home & Kitchen,75.00,1,Debit Card,41,3.9
ORD1030,2024-01-21,CUST230,Beauty,28.00,4,Credit Card,26,4.4
ORD1031,2024-01-22,CUST231,Electronics,350.00,1,PayPal,49,4.7
ORD1032,2024-01-22,CUST232,Books,19.99,2,Credit Card,31,4.1
ORD1033,2024-01-23,CUST233,Clothing,50.00,3,Cash,23,3.8
ORD1034,2024-01-24,CUST234,Home & Kitchen,310.00,1,Credit Card,58,4.9
ORD1035,2024-01-24,CUST235,Beauty,45.00,1,,35,4.0
ORD1036,2024-01-25,CUST236,Electronics,650.00,1,PayPal,42,4.6
ORD1037,2024-01-26,CUST237,Books,27.00,1,Debit Card,28,4.3
ORD1038,2024-01-26,CUST238,Clothing,120.00,2,Credit Card,34,4.8
ORD1038,2024-01-26,CUST238,Clothing,120.00,2,Credit Card,34,4.8
ORD1039,2024-01-27,CUST239,Home & Kitchen,90.00,2,PayPal,46,4.1
ORD1040,2024-01-28,CUST240,Beauty,15.00,5,Cash,20,3.6
ORD1041,2024-01-28,CUST241,Electronics,1100.00,1,Credit Card,51,5.0
ORD1042,2024-01-29,CUST242,Books,32.00,1,Debit Card,39,4.2
ORD1043,2024-01-30,CUST243,Clothing,70.00,1,PayPal,27,4.0
ORD1044,2024-01-30,CUST244,Home & Kitchen,180.00,1,Credit Card,44,4.5
ORD1045,2024-01-31,CUST245,Beauty,55.00,2,Credit Card,31,4.3
ORD1046,2024-02-01,CUST246,Electronics,250.00,2,PayPal,36,4.4
ORD1047,2024-02-01,CUST247,Books,16.50,3,Debit Card,22,4.0
ORD1048,2024-02-02,CUST248,Clothing,140.00,1,Credit Card,47,4.9
